index,plant,county,distance,cost,fpfactor,adjusted_cost
1.0_86,541,48169,470.52599556029736,79.92454306,1.00368673,79.9982081126589
1.0_129,541,48255,146.26394526784705,29.08019267637306,1.005904005,29.123115077113628
1.0_195,541,48389,582.7414863998825,97.51995310227088,1.053944975,98.83513096029668
1.0_114,541,48225,253.07376207759643,45.82799201247219,1.018099021,46.03535245992758
1.0_72,541,48141,829.0515790459198,136.1414218895414,1.065400899,138.36736473521995
1.0_33,541,48065,666.9049276879543,110.71679650327488,0.924234356,108.619664156103
1.0_163,541,48325,163.50666973670903,31.78385511150784,0.9656235,31.51070068769765
1.0_243,541,48485,427.10743427554127,73.1165045,0.920169351,71.6572699982884
1.0_36,541,48071,306.8714401974146,54.26347804559236,0.982622612,54.02773866753542
1.0_65,541,48129,600.0426819064465,100.2327838,0.906865698,97.89900621081753
1.0_113,541,48223,384.7500720509536,66.47486214688925,1.046923603,67.25467215710434
1.0_141,541,48281,118.36105983341264,24.705014999713896,0.920538897,24.214243064336692
1.0_74,541,48145,138.01595515040225,27.786906276873445,0.97560124,27.617414762525463
1.0_215,541,48429,297.7051051290183,52.826194985305925,1.000360816,52.83096011939838
1.0_227,541,48453,13.241163358670129,8.222195489533778,1.002208546,8.226735263773685
1.0_197,541,48393,685.9370814048851,113.7010417805859,1.281954811,121.71568071702295
1.0_54,541,48107,504.8785917441482,85.3110366,0.973014418,84.73549460658143
1.0_133,541,48265,156.09200395626507,30.62123412455956,1.014773108,30.73432682426341
